Y_call	sample.id	length	ploidy	purity	min.segment	max.segment
intact_Y_chrom	TCGA-28-1745	23847657	2.39021149687212	0.374651914792646	2787052	26634709
intact_Y_chrom	TCGA-28-1747	23846407	1.97080134457214	0.757854594478569	2786938	26633345
intact_Y_chrom	TCGA-28-1749	23846471	2.08081894395847	0.863395475009822	2786919	26633390
intact_Y_chrom	TCGA-28-1753	23847560	2.03222237792913	0.623077294618012	2787060	26634620
Y_chrom_loss	TCGA-28-1757	23847650	2.7055681333369	0.779567928199336	2787050	26634700
Y_chrom_loss	TCGA-28-1760	23847798	3.21143232171785	0.740080700162967	2786938	26634736
intact_Y_chrom	TCGA-28-2499	23847736	1.85983549685962	0.885438100349926	2786973	26634709
intact_Y_chrom	TCGA-28-2502	23847708	1.9945788858284	0.497035182705361	2786968	26634676
intact_Y_chrom	TCGA-28-2514	23847647	1.87635672655694	0.829210780620648	2786973	26634620
intact_Y_chrom	TCGA-28-5204	23846291	1.98607360848294	0.856726509243926	2787050	26633341
intact_Y_chrom	TCGA-28-5207	23846390	2.04404343586969	0.727789631724253	2787000	26633390
intact_Y_chrom	TCGA-28-5208	21791095	1.99394476581279	0.826848199574996	2787019	26634676
intact_Y_chrom	TCGA-28-5211	23841198	2.930180280806	0.327198464382226	2787052	26628250
intact_Y_chrom	TCGA-28-5213	23847708	1.89091501934112	0.464606409063726	2786968	26634676
intact_Y_chrom	TCGA-28-5214	23847708	2.08394671580933	0.729553330283841	2786968	26634676
intact_Y_chrom	TCGA-28-5216	23847657	4.46746286029923	0.737923898373724	2787019	26634676
intact_Y_chrom	TCGA-28-5218	23847725	2.83458202436603	0.575318512498556	2786984	26634709
intact_Y_chrom	TCGA-28-5220	23846374	1.86515027936736	0.848050320245583	2786967	26633341
intact_Y_chrom	TCGA-28-6450	23840894	2.07185939251338	0.746504613326449	2787456	26628350
intact_Y_chrom	TCGA-2A-A8VL	23840888	1.99684407281944	0.486334250923247	2787412	26628300
intact_Y_chrom	TCGA-2A-A8VO	23840870	2.01239525543071	0.530977587751849	2787430	26628300
intact_Y_chrom	TCGA-2A-A8VT	23840870	1.87665738462557	0.671815246218503	2787430	26628300
intact_Y_chrom	TCGA-2A-A8VV	23840851	2.01826861958672	0.485309597574817	2787449	26628300
intact_Y_chrom	TCGA-2A-A8VX	23841335	2.01831001681546	0.913457108632152	2787015	26628350
intact_Y_chrom	TCGA-2A-A8W1	23840966	1.98343144887009	0.912234557460484	2787334	26628300
intact_Y_chrom	TCGA-2A-A8W3	23841285	2.00865582384978	0.441631784945694	2787015	26628300
intact_Y_chrom	TCGA-2A-AAYF	23840731	1.97704458394876	0.3	2787519	26628250
intact_Y_chrom	TCGA-2A-AAYO	23846361	1.99402260184333	0.664048938261099	2786984	26633345
intact_Y_chrom	TCGA-2A-AAYU	23840731	1.97992806930781	0.753872303493863	2787519	26628250
intact_Y_chrom	TCGA-2F-A9KO	23840816	2.84852921271267	0.38232193831821	2787434	26628250
intact_Y_chrom	TCGA-2F-A9KP	18966232	2.04317815192915	0.726331868134352	2787434	26628300
Y_chrom_loss	TCGA-2F-A9KQ	23724917	1.94501079694026	0.900521088800957	2787533	26628250
intact_Y_chrom	TCGA-2F-A9KT	23594699	1.84646204572828	0.557542858825057	2842201	26436900
